1,14,890,940,1087
22,14,890,940,1087
1,1505,1187,2026,1522
22,1505,1187,2026,1522
10,6,130,196,248
11,62,133,263,182
11,170,6,265,176
13,500,376,862,533
13,22,323,473,510
14,1,152,260,420
14,425,152,638,352
15,411,308,791,523
16,2,348,205,449
16,339,326,793,467
17,7,422,622,658
19,327,200,430,215
2,1,268,605,785
20,2,109,108,155
20,126,70,276,147
21,22,497,1265,704
3,15,17,787,286
4,11,14,789,277
6,2217,1792,2478,2504
7,18,435,1037,743
7,1498,613,2033,962
8,674,156,1119,453
8,941,645,1040,696
9,45,345,132,406
