1,12,404,409,876
1,282,534,779,999
1,1728,499,2028,1076
1,1502,818,1777,1039
2,445,401,506,446
2,546,385,628,428
2,608,381,726,436
3,34,370,230,444
3,263,390,631,495
3,574,320,792,405
4,14,287,445,527
4,501,417,769,596
5,22,74,639,536
6,1382,577,2251,1661
6,17,681,697,1831
7,998,141,1916,711
7,8,247,563,588
8,365,150,1192,696
8,35,367,407,708
9,523,107,733,376
9,378,161,548,355
9,197,144,386,336
9,4,109,125,337
12,426,37,1596,821
12,229,392,462,805
13,7,127,521,509
13,767,260,1182,627
14,138,75,431,239
15,315,47,412,319
15,433,245,482,315
15,516,220,567,293
15,585,18,780,269
15,9,5,295,293
16,11,9,297,354
16,287,74,376,310
16,391,76,489,301
16,499,12,795,309
17,137,77,785,508
18,23,34,1171,489
19,63,38,162,196
19,143,84,200,200
19,336,8,427,186
20,13,32,160,137
21,4,213,463,470
22,12,404,409,876
22,282,534,779,999
22,1728,499,2028,1076
22,1502,818,1777,1039
